"Listing Number","Subdivision","Street Number","Street Name","Status","Area","Listing Date","Expiration Date","Status Change Date","Under Contract Date","Agent Days On Market","Cumulative DOM","Original List Price","Listing Price","Sold Price","Sold Price/SqFt","SqFt - Living","# Bedrooms","Baths - Full","Baths - 1/2","Approximate Age","Lot Dimensions","Property Type","Type","Sold Date","Acreage Range","Selling Office","Listing Office","Listing Member","Selling Member","City","State","Zip Code","Unit #","Parish","Co-selling Member","Legal Desc","Projected Closing Date","Compensation","Pool on Subject Property","Lot #","Co-listing Member","Sold Terms"
"23007956","Daniel Estates","221","Talon","A","P","2023-08-30","","2023-09-13","","35","35","375000.00","364900.00","","","2080.00","4","3","","6 - 10 Years","70X185.31X70X185.2","Residential","DS","","0 - 0.5","","ReHive, LLC (l001228)","Christopher Soileau","","Youngsville","LA","70592","","Lafayette","","LOT 41 DANIEL ESTATES","","2.25%","N","41","",""
"23008053","None","1620","Jenkins","A","F","2023-08-29","","2023-09-01","","50","50","3250000.00","3250000.00","","","8243.00","6","9","","6 - 10 Years","(562.14X396.64X554.78X394.58)","Residential","DS","","3 - 5.99","","HUNCO Real Estate (l001141)","Lacie Luke","","Duson","LA","70529","","Lafayette","","TR 1 SEC 35 T9S R3E  (5.072 AC)  (562.14X396.64X554.78X394.58)","","See RR","Y","n/a","",""
"23004387","Reeds Townhomes","111","Firethorn","A","P","2023-05-22","","2023-05-22","","149","149","239000.00","239000.00","","","1453.00","2","2","1","New","24x53","Residential","AS","","0 - 0.5","","ReHive, LLC (l001228)","Christopher Soileau","","Youngsville","LA","70592","","Lafayette","","Lot 21 of Metairie Centre Townhome Community","","2.25%","N","21","",""
"23008946","Georgetown Square","104","Yorkshire","A","N","2023-10-02","","2023-10-02","","16","16","489000.00","489000.00","","","2379.00","4","2","1","Proposed Constructio","(95X103.48X89.18X95X110)","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Paul Tylock","","Lafayette","LA","70508","","Lafayette","","LOT 25 GEORGETOWN SQUARE  (95X103.48X89.18X95X110)","","2.25","N","25","",""
"23008712","None","111","Short","A","V4","2023-09-22","","2023-09-22","","26","26","135000.00","135000.00","","","1840.00","3","1","1","51 - 75 Years","per record","Residential","DS","","1 - 2.99","","Keller Williams Realty Acadiana (l000906)","Charles Ilonya","","Delcambre","LA","70528","","Vermilion","","1 LOT 65' N & S ON SHORT ST BY 96 3/4' E & W ($400) 383-234 1 LOT MEA","","3","N","N/A","Nah Senpeng",""
"23004873","Picard Farms","104","Augustin","A","V2","2023-05-31","","2023-06-05","","140","140","247500.00","235000.00","","","1836.00","4","2","","Under Construction","As per plat","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Sean Hettich","","Maurice","LA","70555","","Vermilion","","Lot 121 Picard Farms","","3%","N","121","",""
"23009354","Vermilion Gardens","513","Rue Chavaniac","A","N","2023-10-16","","2023-10-16","","2","265","499900.00","499900.00","","","3036.00","4","3","","41 - 50 Years","100X154.40","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Derek Foreman","","Lafayette","LA","70508","","Lafayette","","LOT 59 VERMILION GARDENS SUB (100X154.40)","","2%","N","005","",""
"23009241","None","1785","Peach Bloom","A","A4","2023-10-11","","2023-10-11","","7","99","199500.00","199500.00","","","2325.00","3","2","","51 - 75 Years","As per recorded","Residential","DS","","1 - 2.99","","Century 21 Action Realty (l001065)","Tammy Cormier","","Church Point","LA","70525","","Acadia","","1.00 AC SEC 6 T8-3E (IMPS) (LOT)(F-3078) 0.14 AC, OUT OF LOT 6B SEC 6","","2.75%-Tech fee","N","As per recorded","",""
"23006399","None","731","Miller","A","L2","2023-07-17","","2023-08-01","","78","78","250000.00","240000.00","","","1834.00","2","2","","21 - 30 Years","IRREGULAR","Residential","DS","","1 - 2.99","","NextHome Cutting Edge Realty (l001236)","Devin Bellard","","Opelousas","LA","70570","","St Landry","","1 LOT 3-A (2.999 AC) OF STELLY PLAT N STELLY S MILLER ROAD E LOT 3-B","","2.5%-$150","N","3-A","",""
"23004937","None","625","Bayou Tortue","A","H","2023-06-05","","2023-06-07","","135","135","407000.00","399000.00","","","1811.00","3","2","","4 - 5 Years","105X414.90X43.50X56.50X200.07X192","Residential","DS","","0.51 - 0.99","","Latter & Blum (l000050)","Jammie Parbhoo","","Broussard","LA","70518","","Lafayette","","SEC 91 T10S R5E (.890 AC)(105X414.90X43.50X56.50X200.07X192)","","3%-$150","N","0","",""
"23008713","Sugarland Estates","202","Tall Oaks","A","P","2023-09-23","","2023-09-23","","25","85","295990.00","295990.00","","","1772.00","3","2","","6 - 10 Years","65X95","Residential","DS","","0 - 0.5","","Andries Migues Realty, LLC (l001394)","Guy Migues","","Youngsville","LA","70592","","Lafayette","","LOT 108 SUGARLAND ESTATES (65X94.93X65X94.77)","","3%-$150","N","010","",""
"22008613","Langlinais Estates","107","Lansing","A","O","2022-09-09","","2023-10-06","","404","404","587500.00","499000.00","","","2398.00","4","3","","Under Construction","70x135","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Shannon Broussard","","Broussard","LA","70518","","Lafayette","","70x135","","RR","N","51","",""
"23005933","Woodridge Estates","144","Steiner","A","G1","2023-07-05","","2023-10-03","","55","300","546599.00","546599.00","","","2550.00","4","2","2","41 - 50 Years","100 X 150","Residential","DS","","0 - 0.5","","Coldwell Banker Trahan Real Estate Group (l001281)","Ruthi Hogan","","Lafayette","LA","70508","","Lafayette","","Lot 7 Woodridge Estates","","2.5%-$150","Y","7","",""
"23001071","Fortune Hills","120","Long Oak","A","O","2023-02-08","","2023-02-08","","252","252","570860.00","558450.00","","","2482.00","4","3","","Under Construction","90x125","Residential","DS","","0 - 0.5","","Dwight Andrus Real Estate Agency, LLC (l001261)","Ted Bauer","","Youngsville","LA","70592","","Lafayette","","LOT 84 FORTUNE HILLS (90X125X90X125.73)","","2.5","N","84","",""
"23009426","Cottonwood Pond","101","Gray Birch","A","N","2023-10-17","","2023-10-17","","1","1","218000.00","218000.00","","","1426.00","3","2","","6 - 10 Years","71X104X10X120X73","Residential","DS","","0 - 0.5","","Cachet Real Estate, LLC (l001111)","Brittany Bouillion","","Youngsville","LA","70592","","Lafayette","","LOT 8 COTTONWOOD POND","","2.5%","N","8","",""
"23001407","Cypress Bend","198","Cypress Bend","A","A2","2023-02-21","","2023-09-26","","162","162","689900.00","689900.00","","","2980.00","4","3","1","Under Construction","100x302.64","Residential","DS","","0.51 - 0.99","","Century 21 Action Realty (l001065)","Jennifer Duhon","","Scott","LA","70583","","Acadia","","0.70 AC 'Lot 24' Cypress Bend Estates S/D Sec 9 T9-3E (Lot)","","2%","N","24","",""
"23009174","June Park","100","Deerfield","A","F","2023-10-10","","2023-10-10","","8","8","210000.00","200000.00","","","1323.00","3","2","","21 - 30 Years","94.07x100x71.96x78.3","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Blake Miller","","Duson","LA","70529","","Lafayette","","LOT 62 JUNE PARK SUB (94.07X100X71.96X78.3)","","2.5% -$150","Y","006","",""
"23009175","None","405","Congress","A","L2","2023-10-10","","2023-10-10","","8","8","109500.00","109500.00","","","1196.00","3","1","","51 - 75 Years","76.5x83.1","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Kirk Brown","","Opelousas","LA","70570","","St Landry","","1 LOT (83.1X76.5) N JOLIVETTE S SANDOZ ST E THIERRY W WALNUT ST FRONT","","2.5","N","1","",""
"23008085","Three Mile Lake","920","Three Mile","A","L1","2023-09-05","","2023-10-10","","39","39","75000.00","75000.00","","","208.00","1","1","","16 - 20 Years","105.1x126.24","Residential","DS","","0 - 0.5","","The Gleason Group (l001255)","Cassie Goldsboro","","Port Barre","LA","70577","","St Landry","","1 LOT 213 (105.10X126.24) (.296 AC) THREE MILE LAKE SUBDIV IN LOT 307 S THREE MILE AVE E LOT 212 W LOT 214 IN SEC 9 & 1","","3%","N","213","",""
"22003144","Magnolia Trace","103","Wishing Well Drive","A","P","2022-04-07","","2022-04-07","","559","559","385187.00","366687.00","","","1843.00","3","2","","New","50'x 110'","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Cody Musgrove","","Broussard","LA","70518","","Lafayette","","Lot 15 of Magnolia Trace Subdivision, Broussard, LA 70518","","2.5%","N","15","Sylvia McLain",""
"23007294","Bernice Lastrapes","717","W Park Ave","A","L2","2023-08-10","","2023-08-10","","69","69","60000.00","60000.00","","","1200.00","3","1","0","51 - 75 Years","50x50/48x296","Residential","DS","","0 - 0.5","","RE/MAX Excellence (l001244)","Toni Effingger","","Opelousas","LA","70570","","St Landry","","1 LOT W/2 LOT 58 (48X296) BERNICE LASTRAPES ADD 1198665","","2.9","N","058","",""
"23008156","None","818","Lasalle","A","Evangeline","2023-09-05","","2023-09-06","","43","43","225000.00","225000.00","","","3500.00","4","2","","41 - 50 Years","190 X 110 X 160","Residential","DS","","1 - 2.99","","Dream Home Realty, LLC (l001181)","Jeff Deville","","Ville Platte","LA","70586","","Evangeline","","1 FRCL. LOT100-(20' X 200') PORTION OF LOT 1 BLK. 1 E.A.SOILEAU SUB. B. 165 P. 434 #210897 (818 W. LASALL","","3%-150","N","2","",""
"23002345","Whittington Estates","104","Whittington","A","G2","2023-03-22","","2023-03-23","","210","210","269900.00","264900.00","","","1265.00","2","2","1","New","Irregular","Residential","AS","","0 - 0.5","","Latter & Blum (l000050)","Padgette Richard","","Lafayette","LA","70503","F","Lafayette","","(TBD) of Whittington Estates, Phase 1","","2.5% - $150","N","0","",""
"23008517","La Savanne","1013","Maurice Huval","A","M2","2023-09-18","","2023-09-18","","30","30","69900.00","69900.00","","","1170.00","3","2","","16 - 20 Years","Lot Size: 0.35 acres","Residential","DS","","0 - 0.5","","Vylla Home (l001346)","Kenni Delahoussaye","","Broussard","LA","70518","","St Martin","","LOT 6, LA SAVANNE SUB., SEC. 4R2, T11S, R5E, ST. MARTIN PARISH, LA","","RR","N","LOT 6","",""
"23002592","Cypress Gardens","102","Cypress Wood","A","P","2023-03-30","","2023-03-30","","202","202","549248.00","534536.00","","","2452.00","4","3","","New","129 x 55","Residential","DS","","0 - 0.5","","Keller Williams Realty Acadiana (l000906)","Deborah Pierce","","Youngsville","LA","70592","","Lafayette","","LOT 22 CYPRESS GARDENS","","2.5%","N","22","",""
"23004819","Sheldon & Hagen","503","Fontenot","A","L1","2023-05-31","","2023-06-02","","140","140","120000.00","120000.00","","","1500.00","3","1","","51 - 75 Years","irregular","Residential","DS","","0.51 - 0.99","","Keller Williams Realty Acadiana (l000906)","Helen Thibeaux","","Melville","LA","71353","","St Landry","","LOT 14, LOT 13, LOT 12 of BLOCK 7, Sheldon/Hagen Subdivision located in St Landry Parish","","3%","N","12,13,14","",""
"23001733","None","4702","Cameo","A","I3","2023-03-05","","2023-03-05","","227","227","299000.00","260000.00","","","2100.00","3","2","","11 - 15 Years","-","Residential","DS","","1 - 2.99","","Avenue Real Estate (l00l00)","Morgan Savoie","","New Iberia","LA","70560","","Iberia","","0.97 AC.... SEGURA, HECTOR, SEGURA, SEGURA BEING PART LOT 2 B 1 OF PL","","3%","N","2B","Jordan Bourg",""
"22010954","Dardeau","1072","Tate Cove","A","Evangeline","2022-12-02","","2022-12-02","","320","320","190000.00","133000.00","","","1200.00","2","2","","21 - 30 Years","350 x 400","Residential","DS","","3 - 5.99","","Dream Home Realty, LLC (l001181)","Jeff Deville","","Ville Platte","LA","70586","","Evangeline","","3 LOTS 1000-LOTS 5 & 6 BLK. 2 & LOT 1 BLK. 3 OF THE MRS. LUCY V. DARD","","3%-$150","N","01","",""
"23007324","Audubon Oak Th","24","Audubon Oaks","A","G3","2023-08-11","","2023-08-11","","68","68","350000.00","320000.00","","","2444.00","3","3","1","41 - 50 Years","Irregular","Residential","DS","","0 - 0.5","","Redfin (l001331)","Loran Milliman","","Lafayette","LA","70506","","Lafayette","","LOT 24 AUDUBON OAKS PHASE 2 PATIO HOMES & TOWNHOUSE","","2.5","N","002","",""
"23008054","Wind Rose","220","Saint Blaise","A","O","2023-09-01","","2023-09-30","","18","18","830000.00","830000.00","","","2865.00","3","2","1","6 - 10 Years","See Tax Assessor","Residential","DS","","6 - 10.99","","EXP Realty, LLC (l001154)","Tori Drake","","Youngsville","LA","70592","","Lafayette","","TR G-2 SEC 1 T11S R4E  (7.112 AC)  (FORMERLY PT TR 1 & PT TR G-1)","","See Realtor Rem","N","See Tax Assessor","",""
"23008446","Gourney Addition","1221","Phillips","A","L3","2023-09-11","","2023-09-14","","37","37","109900.00","89900.00","","","1450.00","2","2","","41 - 50 Years","130x120","Residential","DS","","0 - 0.5","","Vylla Home (l001346)","Pam Arceneaux","","Eunice","LA","70535","","St Landry","","2 LOTS 3 & 4 (65X120 EACH) BLK F GOURNEY MEMO ADD 1208862","","see RR","N","004","",""
"23006187","Parc Ridge","302","Dalia","A","M1","2023-07-06","","2023-07-11","","104","104","242500.00","242500.00","","","1731.00","4","2","","Under Construction","75 x 120","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Sean Hettich","","Breaux Bridge","LA","70517","","St Martin","","Lot 84 Parc Ridge","","3%","N","84","",""
"23008024","San Sebastian","206","Santander","A","P","2023-09-01","","2023-09-01","","47","47","489000.00","475000.00","","","2459.00","4","3","1","4 - 5 Years","53 X 125","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Eliana Ashkar","","Youngsville","LA","70592","","Lafayette","","LOT 151 SAN SEBASTIAN","","3% - $150","N","151","",""
"23004823","Vincent Trace","142","Micah Edward","A","V1","2023-06-02","","2023-10-09","","74","74","261005.00","261005.00","","","1885.00","4","2","","Under Construction","60X132","Residential","DS","","0 - 0.5","","Cicero Realty LLC (l001234)","Saun Sullivan","","Maurice","LA","70555","","Vermilion","","SECT. 1, T11S. R3E, VILLAGE OF MAURICE","","2.5%","N","197","",""
"23008452","Pinnacle Point","305","Bridgeport","A","C","2023-09-15","","2023-09-15","","33","33","244900.00","244000.00","","","1764.00","3","2","","16 - 20 Years","125x100","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Brandon Landry","","Carencro","LA","70520","","Lafayette","","Lot # 16 Pinnacle Point Subdivision","","2.5% -250","N","16","",""
"23008826","None","600","Pearl","A","V4","2023-09-27","","2023-09-27","","21","21","149900.00","149900.00","","","1584.00","3","3","","31 - 40 Years","see plat","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Jace Harrington","","Erath","LA","70533","","Vermilion","","1 LOT 50' E & W BY 104' N & S BD N PEARL ST E BENOIT, W PRIMEAUX & S 1 LOT 50 FT E & S BY 100 FT N & S N MENARD","","2.5% - 150","N","N/A","",""
"23007845","Three Fountains Condo","112","Hillside","A","G2","2023-08-27","","2023-08-27","","52","52","135000.00","125000.00","","","1163.00","2","1","","41 - 50 Years","0","Residential","AS","","0 - 0.5","","EXP Realty, LLC (l001154)","Quincie Privat","","Lafayette","LA","70503","35","Lafayette","","UNIT 35 BLDG 4 THREE FOUNTAINS CONDOMINIUMS  (1163 SF)(1.84953% COMMON ELEMENTS & EXPENSES)","","2.5","Y","00","",""
"23008832","Boudreaux Addition","510","Tiger","A","St. Mary","2023-09-27","","2023-09-27","","21","21","230000.00","230000.00","","","2837.00","3","2","1","21 - 30 Years","60  X 108","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Victoria Jacobs","","Franklin","LA","70538","","St Mary","","LOT POR NO 29 IN BOYDVILLE BD BOUDREAUX -  HARRIS - KIRTMAN - LANE BEING TRACT ''ABCDA''  PER PLAT MTGE BK 512 168774","","2.5-$150","N","29","",""
"23008948","Acadiana Place","205","Grand Prairie","A","G3","2023-09-24","","2023-10-02","","24","24","261000.00","261000.00","","","1715.00","3","2","","41 - 50 Years","90.76X110X90.37X118.41","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Mary Mirian","","Lafayette","LA","70506","","Lafayette","","LOT 15 ACADIANA PLACE SUB PHASE I (90.76X110X90.37X118.41)","","3%-$150","Y","15","",""
"23009425","Southport","1405","Patout","A","I2","2023-10-17","","2023-10-17","","1","1","225000.00","225000.00","","","1650.00","4","2","","31 - 40 Years","85x120","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Jace Harrington","","New Iberia","LA","70560","","Iberia","","LOT 2, LOT 4, IBERIA SOUTHPORT CORP, PATOUT ST BEING LOT LOT 3, BLK 5, SOUTHPORT SUB PART 1 LOCATED IN SECS 24 & 25","","2%","N","3","",""
"22003156","Magnolia Trace","105","Wishing Well Drive","A","P","2022-04-07","","2022-04-07","","559","559","389576.00","371076.00","","","1864.00","3","2","","Under Construction","50'x 110'","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Cody Musgrove","","Broussard","LA","70518","","Lafayette","","LOT 14 MAGNOLIA TRACE PH 1 (50X110)","","2.5%","N","14","Sylvia McLain",""
"23007493","Arceneaux Cove","102","Ideal","A","D","2023-08-16","","2023-08-17","","63","801","975000.00","975000.00","","","4755.00","3","3","1","6 - 10 Years","133.67X249.41X133.67X249.41","Residential","DS","","0.51 - 0.99","","EXP Realty, LLC (l001154)","Pamela Bergeron","","Lafayette","LA","70507","","Lafayette","","LOT 13 ARCENEAUX COVE PH. 2 (133.67X249.41X133.67X249.41)","","3%","N","13","",""
"23008285","None","1024","Ninth","A","G3","2023-09-11","","2023-09-11","","37","37","129000.00","99999.00","","","1000.00","2","1","","41 - 50 Years","0-.05","Residential","DS","","0 - 0.5","","Goldie Locks Realty LLC (l001197)","Brandy Siner","","Lafayette","LA","70501","","Lafayette","","1024 nine st lot 19-20","","2-5-200","N","19-20","",""
"23004736","Cypress Meadows","309","Lost Bridge","A","O","2023-05-25","","2023-06-01","","146","146","305000.00","305000.00","","","1628.00","3","2","","Under Construction","120x60","Residential","DS","","0 - 0.5","","Andries Migues Realty, LLC (l001394)","Guy Migues","","Broussard","LA","70518","","Lafayette","","LOT 435 CYPRESS MEADOWS PH 3-B  (60X120)","","2.5% - $150","N","435","",""
"23004938","Harris","1460","Yukon","A","L3","2023-06-07","","2023-06-07","","133","133","210000.00","195000.00","","","1750.00","3","2","","51 - 75 Years","120 x 100","Residential","DS","","0 - 0.5","","RE/MAX Rice Realty (l001103)","Jerrod Prather","","Eunice","LA","70535","","St Landry","","EAST 100' OF LOTS 18 & 19 BLK 3 HARRIS SUBDIVISION","","2%","N","18-19","",""
"22005610","None","330","Le Violon","A","F","2022-06-06","","2023-06-20","","490","1050","2000000.00","1600000.00","","","3749.00","3","4","","6 - 10 Years","1368 x 185 x 1368 x 224","Residential","DS","","6 - 10.99","","NextHome Cutting Edge Realty (l001236)","Shannon Higginbotham","","Lafayette","LA","70506","","Lafayette","","TR 1 SEC 6 T10S R4E (7 AC)(8.28 ARPTS)","","SEE RR","Y","None","",""
"23008157","None","2796","Prairie Rhonde","A","Evangeline","2023-08-22","","2023-09-06","","57","57","715000.00","715000.00","","","3044.00","3","3","","21 - 30 Years","20Ac","Residential","DS","","20 - 29.99","","NextHome Cutting Edge Realty (l001236)","Devin Bellard","","Ville Platte","LA","70586","","Evangeline","","20 AGRI. #3--IN SEC. 25  T5-2E  LAFLEUR:HGY:LAFLEUR:LAFLEUR:  IMP. 9200 6H-16    #660779","","2.75-150","N","20 acres","",""
"23001744","Mon Cherie","113","Cape Town","A","O","2023-03-06","","2023-03-06","","226","226","468700.00","416000.00","","","2180.00","4","3","","Under Construction","55x120","Residential","DS","","0 - 0.5","","Robbie Breaux & Team Brokered by Real Broker (l001230)","Robbie Breaux","","Youngsville","LA","70592","","Lafayette","","LOT 78 MON CHERIE SUBD  (55X120) (6600.000 SQ FT)","","2.5%-$150","N","78","",""
"23004955","Sabal Palms","108","Queen Palm","A","O","2023-06-03","","2023-06-07","","137","137","613000.00","613000.00","","","2609.00","4","3","","Under Construction","irregular","Residential","DS","","0 - 0.5","","NextHome Cutting Edge Realty (l001236)","Christie House Theaux","","Broussard","LA","70518","","Lafayette","","LOT 113 SABAL PALMS PH 3-B","","2.5%-$150","N","113","Nicole Hebert",""
"23009355","None","2400","Royer","A","J","2023-10-16","","2023-10-16","","2","2","75000.00","75000.00","","","1224.00","3","1","","21 - 30 Years","As per recorded","Residential","DS","","1 - 2.99","","Century 21 Action Realty (l001065)","Tammy Cormier","","Jennings","LA","70546","","Jefferson Davis","","1.18 ACRE BEING PART OF LOT D OF LOT 4 OF SUB OF LANDS OF WILLIAM LABOUVE DATED MARCH 30, 1927, IN 27-8-3,  DESC AS:","","3%","N","4","",""
"23008393","Mill Creek Cove","202","Moss Creek","A","N","2023-09-13","","2023-09-13","","35","35","396000.00","396000.00","","","2489.00","4","3","","11 - 15 Years","75'x 115'","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Cody Musgrove","","Lafayette","LA","70508","","Lafayette","","LOT 9 MILLCREEK COVE SUBDIVISION, LAFAYETTE, LA 70508","","3% -$150","N","9","",""
"23004011","Grandview Terrace","103","Little Lake","A","O","2023-05-09","","2023-05-09","","162","162","1275000.00","1275000.00","","","4212.00","4","5","","11 - 15 Years","Irreg","Residential","DS","","3 - 5.99","","Keller Williams Realty Acadiana (l000906)","Shelley Rhodes","","Youngsville","LA","70592","","Lafayette","","PART NEW LOT 29B GRANDVIEW TERRACE(3.0473 AC)(UNINCORPORATED)(OTHER P NEW LOT 29B UNDER #6151345 --IN CITY LIMITS OF","","SS-See remarks","Y","29B","",""
"23001657","Langlinais Estates","406","Abercrombie","A","O","2023-03-02","","2023-03-02","","230","230","648524.00","636702.00","","","2631.00","4","3","1","Under Construction","75x135","Residential","DS","","0 - 0.5","","Robbie Breaux & Team Brokered by Real Broker (l001230)","Robbie Breaux","","Broussard","LA","70518","","Lafayette","","LOT 43 LANGLINAIS ESTATES  (75X135)","","2.5%-$150","N","43","",""
"23008951","Duara Heights","2419","Camella","A","V1","2023-10-01","","2023-10-02","","17","115","160000.00","160000.00","","","1800.00","3","2","","41 - 50 Years",".05","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Kim Loan Pham","","Abbeville","LA","70510","","Vermilion","","LOT 31 DUARA HGTS   2021003642   2022008591","","3%-150","N","031","",""
"23004810","Capritto Acres","1240","Wilfred Champagne","A","M2","2023-06-01","","2023-08-22","","114","114","125000.00","115000.00","","","2280.00","4","3","","21 - 30 Years","105x209","Residential","MM","","0 - 0.5","","Dream Home Realty, LLC (l001181)","Amber Doucet","","St. Martinville","LA","70582","","St Martin","",".50 AC: BEING LOT 52 PHASE IV OF CAPRITTO ACRES PER PLAT OF SURVEY #299634COB: 1341-105-326800 1404-189-365801 1467-557-","","3% - $150","N","52","",""
"23002924","None","201","Main","A","V4","2023-04-06","","2023-04-10","","195","406","120000.00","93000.00","","","1475.00","3","1","1","76+ Years","48.38 x 104","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Lonnie Trimble","","Delcambre","LA","70528","","Vermilion","","1 LOT 104' N & S BY 48.38' E & W ON MAIN ST 2017003935 IMP","","3% -$200","N","005","",""
"22003158","Magnolia Trace","109","Wishing Well Drive","A","P","2022-04-07","","2022-04-07","","559","559","388065.00","373351.00","","","1893.00","3","2","","Under Construction","50'x 110'","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Cody Musgrove","","Broussard","LA","70518","","Lafayette","","Lot 12 of Magnolia Trace Subdivision, Broussard, LA 70518","","2.5%","N","12","Sylvia McLain",""
"23002940","Hamilton Brasseaux","532","Delahoussaye","A","A4","2023-04-11","","2023-09-11","","190","190","134900.00","87900.00","","","1730.00","3","2","","31 - 40 Years","71x119.3","Residential","DS","","0 - 0.5","","Gateway Realty, Inc. (l000062)","Debi Smith","","Church Point","LA","70525","","Acadia","","LOT 13 HAMILTON BRASSEAUX PART. SEC 38 T7-2E (LOT) (IMP) (E2-2032) (L","","2.5","N","013","",""
"23008821","Magnolia Woods","128","Greenfield","A","B","2023-09-27","","2023-09-27","","21","21","275000.00","275000.00","","","1816.00","3","2","1","16 - 20 Years","100X235.66X99.22X215.12","Residential","DS","","0 - 0.5","","Reliance Real Estate Group (l001039)","Anna Ward","","Carencro","LA","70520","","Lafayette","","LOT 8 MAGNOLIA WOODS SUBD (100X235.66X99.22X215.12)","","3%","N","8","",""
"23008550","Rivers Bend","301","Aundria","A","G2","2023-09-18","","2023-09-23","","25","25","328735.00","328735.00","","","2365.00","3","2","1","51 - 75 Years","80X110","Residential","DS","","0 - 0.5","","Robbie Breaux & Team Brokered by Real Broker (l001230)","Robbie Breaux","","Lafayette","LA","70503","","Lafayette","","LOT 9 & NW 5FT OF LOT 10 RIVERS BEND ESTATES PART #2","","3% -$150","N","9 & NW 5' OF LOT 10","",""
"23006368","Broussard Hills","305","Broussard Hill","A","H","2023-07-14","","2023-07-17","","96","96","262500.00","262500.00","","","1874.00","4","2","","Under Construction","50 X 125","Residential","DS","","0 - 0.5","","Real Broker, LLC (l001335)","Sean Hettich","","Broussard","LA","70518","","Lafayette","","Lot 30 Broussard Hills Sub","","3%","N","30","",""
"23007645","Richfield Place","207","Picasso","A","K","2023-08-22","","2023-08-22","","57","57","224500.00","220000.00","","","1465.00","3","2","","11 - 15 Years","60x125","Residential","DS","","0 - 0.5","","EXP Realty, LLC (l001154)","Kelly Berry","","Rayne","LA","70578","","Lafayette","","LOT 20 RICHFIELD PLACE SUBD (60X125)(7,500 SQ FT)","","2.5","N","20","",""
"23001659","Langlinais Estates","416","Abercrombie","A","O","2023-03-02","","2023-03-02","","230","230","591600.00","580800.00","","","2400.00","4","3","","Under Construction","75x135","Residential","DS","","0 - 0.5","","Robbie Breaux & Team Brokered by Real Broker (l001230)","Robbie Breaux","","Broussard","LA","70518","","Lafayette","","LOT 38 LANGLINAIS ESTATES  (75X135)","","2.5%-$150","N","38","",""
"22001677","Channelview Harbor","122","Riverside","A","Cameron","2022-02-22","","2023-01-23","","511","511","487500.00","459500.00","","","2553.00","3","3","1","16 - 20 Years","Irregular","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Carole Horn","","Hackberry","LA","70645","","Cameron","","Lot 6 Channelview Harbor Subdivision Part 1, Cameron Parish, LA","","3%-$150","N","6","Jack Horn",""
"23007337","Rural Tract (NO Subd)","2398","Doyle Melancon","A","M1","2023-08-11","","2023-09-23","","29","29","249900.00","239900.00","","","2100.00","5","3","","21 - 30 Years","Per Plat","Residential","DS","","1 - 2.99","","EXP Realty, LLC (l001154)","Josh Minczeski","","Breaux Bridge","LA","70517","","St Martin","","1.27 AC: BEING TRACT 4-A PER PLAT OF SURVEY #533881 & #564238COB: 855-944-202549 1821-261-533881 1892-230-564238","","3%-$250","N","0","",""
"23007585","None","8930","Springridge-Texas Line","A","Caddo","2023-08-12","","2023-08-21","","67","67","148524.00","148524.00","","","2240.00","4","1","","21 - 30 Years","8.44 acres","Residential","MM","","6 - 10.99","","Vylla Home (l001346)","Pam Arceneaux","","Keithville","LA","71047","","Caddo","","8.44 ACRES- LOT  K, LOUIS MOCH ESTATE PARTN  151601-1-21","","$300","N","K","",""
"23004443","Silver Acres","518","Copper","A","I2","2023-05-22","","2023-10-14","","27","27","155000.00","145000.00","","","1300.00","3","2","","41 - 50 Years","55 x 110","Residential","DS","","0 - 0.5","","Latter & Blum (l000050)","Michael Chapple","","New Iberia","LA","70560","","Iberia","","1-55X110 LOT 167, LOT 169, COPPER ST., LOT 130 BEING LOT 168, BLK E, SILVER AC. SUB. IMP (518 COPPER RD)","","3%-150","N","168","",""
